Company Name,Country,Sector,Website,Status,Assigned To
Nippon Paint Americas,USA,Chemicals & Materials,nipponpaintamericas.com,Open,Jayden
ESTEC,USA,Machinery & Equipment,estec-trade.com,Open,Jayden
NPS Japan Corporation,USA,Machinery & Equipment,npsjapan.com,Open,Jayden
JSKK Japan,USA,Machinery & Equipment,jskk-japan.com,Open,Jayden
Car Junction,USA,Machinery & Equipment,carjunction.com,Open,Jayden
Japan Steel Works America,USA,Machinery & Equipment,jsw.co.jp,Open,Jayden
Japan Precision Tools,USA,Machinery & Equipment,japanprecision.us,Open,Jayden
Japanese Machinery.com,USA,Machinery & Equipment,japanesemachinery.com,Open,Jayden
Miyakoshi Printing Machinery,USA,Machinery & Equipment,miyakoshi.co.jp,Open,Jayden
Jay Enterprise,USA,Machinery & Equipment,jay.co.jp,Open,Jayden
Komori Corporation,USA,Machinery & Equipment,komori.com,Open,Jayden
Majestic Japanese Beauty Salon,USA,Specialty Retail,smergers.com,Open,Jayden
SOCIÉ WORLD,USA,Specialty Retail,sociworld.com,Open,Jayden
Shiseido,USA,Specialty Retail,shiseido.com,Open,Jayden
RAKKAN USA,USA,Specialty Retail,rakkancorp.com,Open,Jayden
JINYA Ramen Bar,USA,Specialty Retail,jinyaramenbar.com,Open,Jayden
Gyu-Kaku,USA,Specialty Retail,gyu-kaku.com,Open,Jayden
Solaris Japan,USA,Online & Marketplace,solarisjapan.com,Open,Jayden
Tokyo Otaku Mode (TOM),USA,Online & Marketplace,otakumode.com,Open,Jayden
Otaku House USA,USA,Online & Marketplace,shop.otakuhouse.com,Open,Jayden
Japan Funtime,USA,Online & Marketplace,japanfuntime.com,Open,Jayden
Nin-Nin Game,USA,Online & Marketplace,nin-nin-game.com,Open,Jayden
Plaza Japan,USA,Online & Marketplace,plazajapan.com,Open,Jayden
Oceana USA,USA,Beauty & Cosmetics,oceanausa.net,Open,Jayden
MORIHATA,USA,Beauty & Cosmetics,morihata.com,Open,Jayden
Q-Depot,USA,Beauty & Cosmetics,q-depot.com,Open,Jayden
AsianBeautyWholesale,USA,Beauty & Cosmetics,asianbeautywholesale.com,Open,Jayden
Osakamachi,USA,Beauty & Cosmetics,osakamachi.com,Open,Jayden
Shu Uemura,USA,Beauty & Cosmetics,shuuemuraartofhair-usa.com,Open,Jayden
Hoyu Professional USA,USA,Beauty & Cosmetics,hoyuprousa.com,Open,Jayden
ILEM JAPAN,USA,Beauty & Cosmetics,us.ilemjapan.com,Open,Jayden
YA-MAN USA,USA,Beauty & Cosmetics,ya-manusa.com,Open,Jayden
Tatcha,USA,Beauty & Cosmetics,tatcha.com,Open,Jayden
MIYAKE CERAMICS,USA,Kitchenware & Tableware,miyakeceramics.com,Open,Jayden
UTSUWA-NO-YAKATA,USA,Kitchenware & Tableware,utsuwa.us,Open,Jayden
Great Zakka,USA,Kitchenware & Tableware,greatzakka.com,Open,Jayden
MUSUBI KILN,USA,Kitchenware & Tableware,musubikiln.com,Open,Jayden
MIYA Company,USA,Kitchenware & Tableware,miyacompany.com,Open,Jayden
Global Cutlery USA,USA,Kitchenware & Tableware,globalcutleryusa.com,Open,Jayden
Chubo Knives,USA,Kitchenware & Tableware,chuboknives.com,Open,Jayden
Japanese Knife Imports,USA,Kitchenware & Tableware,japaneseknifeimports.com,Open,Jayden
Seattle Cutlery,USA,Kitchenware & Tableware,seacut.com,Open,Jayden
JINS,USA,Eyewear & Optical,us.jins.com,Open,Jayden
Akoni Eyewear,USA,Eyewear & Optical,akoni.com,Open,Jayden
Sun of Japan,USA,Eyewear & Optical,sunofjapan.com,Open,Jayden
Matsuda,USA,Eyewear & Optical,matsuda.com,Open,Jayden
SEE Eyewear,USA,Eyewear & Optical,seeeyewear.com,Open,Jayden
Luxeye Optical,USA,Eyewear & Optical,luxeyeoptical.com,Open,Jayden
TwelveSixtyNine,USA,Eyewear & Optical,twelvesixtynine.com,Open,Jayden
JetPens,USA,Stationery & Paper,jetpens.com,Open,Jayden
Saiko Stationery,USA,Stationery & Paper,saikostationery.com,Open,Jayden
Tokyo Pen Shop,USA,Stationery & Paper,tokyopenshop.com,Open,Jayden
Bungu,USA,Stationery & Paper,bungu.store,Open,Jayden
Komorebi,USA,Stationery & Paper,komorebistationery.com,Open,Jayden
NotebookTherapy,USA,Stationery & Paper,notebooktherapy.com,Open,Jayden
MUJI USA,USA,Stationery & Paper,muji.us,Open,Jayden
Wine of Japan,USA,Beverages & Food,wineofjapan.com,Open,Jayden
World Sake Imports,USA,Beverages & Food,worldsake.com,Open,Jayden
Tokiwa Imports,USA,Beverages & Food,tokiwaimports.com,Open,Jayden
SakéOne,USA,Beverages & Food,sakeone.com,Open,Jayden
KN Foods,USA,Beverages & Food,knfoods.com,Open,Jayden
Marukome USA,USA,Beverages & Food,marukomeusa.com,Open,Jayden
Umami Insider,USA,Beverages & Food,umami-insider.com,Open,Jayden
Aoi Matcha,USA,Beverages & Food,aoimatcha.com,Open,Jayden
CondeHouse USA,USA,Furniture & Decor,condehouse.com,Open,Jayden
J-Life,USA,Furniture & Decor,jlifeinternational.com,Open,Jayden
Eastern Classics,USA,Furniture & Decor,tansushop.com,Open,Jayden
My Japanese Home,USA,Furniture & Decor,myjapanesehome.com,Open,Jayden
Sansho,USA,Furniture & Decor,sansho.com,Open,Jayden
OOKKUU,USA,Furniture & Decor,ookkuu.com,Open,Jayden
Millennium Gallery,USA,Furniture & Decor,millenniumgalleryjp.com,Open,Jayden
Monarch Plank,USA,Furniture & Decor,monarchplank.com,Open,Jayden
Haiku Designs,USA,Furniture & Decor,haikudesigns.com,Open,Jayden
Kokka USA,USA,Textiles & Fabrics,kokkausa.com,Open,Jayden
Orimono Imports,USA,Textiles & Fabrics,orimonoimports.com,Open,Jayden
Miss Matatabi,USA,Textiles & Fabrics,shop.missmatatabi.com,Open,Jayden
Kurabo Denim,USA,Textiles & Fabrics,kurabo-denim.com,Open,Jayden
KURABO,USA,Textiles & Fabrics,kurabo.com,Open,Jayden
YAMAGIWA,USA,Lighting & Fixtures,yamagiwa.co.jp,Open,Jayden
ODELIC,USA,Lighting & Fixtures,odelic.com,Open,Jayden
AMEICO,USA,Lighting & Fixtures,ameico.com,Open,Jayden
IRIS OHYAMA,USA,Lighting & Fixtures,irisohyama.co.jp,Open,Jayden
Reclaimed DesignWorks,USA,Lighting & Fixtures,reclaimeddesignworks.com,Open,Jayden
Top Tier Japan,USA,Automotive Parts,toptierjapan.com,Open,Jayden
Amayama,USA,Automotive Parts,amayama.com,Open,Jayden
JAP Express,USA,Automotive Parts,jap-express.com,Open,Jayden
JDM Japanparts,USA,Automotive Parts,japanparts.com,Open,Jayden
JP-CarParts,USA,Automotive Parts,jp-carparts.com,Open,Jayden
IMPEX Japan,USA,Automotive Parts,impex-jp.com,Open,Jayden
ZervTek,USA,Automotive Parts,zervtek.com,Open,Jayden
Japan Partner,USA,Automotive Parts,japan-partner.com,Open,Jayden
AKIBO Corporation,USA,Bicycles & Parts,akibo.co.jp,Open,Jayden
JBI.BIKE,USA,Bicycles & Parts,jbi.bike,Open,Jayden
Seido Bicycle Components,USA,Bicycles & Parts,seido-components.com,Open,Jayden
CatEye,USA,Bicycles & Parts,cateye.com,Open,Jayden
JP-Parts.com,USA,Motorcycle Parts,jp-parts.com,Open,Jayden
Webike,USA,Motorcycle Parts,japan.webike.net,Open,Jayden
Custom Japan,USA,Motorcycle Parts,customjapan.jp,Open,Jayden
TS Export,USA,Motorcycle Parts,ts-export.com,Open,Jayden
YUMBO,USA,Motorcycle Parts,yumbo-jp.com,Open,Jayden
KōROGI,USA,Camping & Outdoor,korogi.co,Open,Jayden
DOD Outdoors,USA,Camping & Outdoor,dodoutdoors.com,Open,Jayden
Akazuki,USA,Camping & Outdoor,akazuki.com,Open,Jayden
Wawaza,USA,Bath & Body,wawaza.com,Open,Jayden
Shiko Beauty Collective,USA,Bath & Body,shikobeauty.com,Open,Jayden
Rikumo,USA,Bath & Body,rikumo.com,Open,Jayden
Amayori,USA,Bath & Body,amayori.com,Open,Jayden
Buy Me Japan,USA,Bath & Body,buymejapan.com,Open,Jayden
HLJ.com,USA,Hobby & Collectibles,hlj.com,Open,Jayden
Sakatsu Global,USA,Hobby & Collectibles,sakatsuglobal.com,Open,Jayden
Zootoyz,USA,Hobby & Collectibles,japan-wooden-model-kits-zootoyz.shop,Open,Jayden
Gundam Planet,USA,Hobby & Collectibles,gundamplanet.com,Open,Jayden
Crunchyroll Store,USA,Hobby & Collectibles,store.crunchyroll.com,Open,Jayden
Zavvi US,USA,Hobby & Collectibles,us.zavvi.com,Open,Jayden
Ishibashi Music,USA,Music & Instruments,ishibashi.co.jp,Open,Jayden
Shimokura Musical Instruments,USA,Music & Instruments,shimokura-gakki.com,Open,Jayden
TCGAKKI,USA,Music & Instruments,tcgakki.com,Open,Jayden
Mizuho,USA,Medical & Surgical,mizuho.co.jp,Open,Jayden
Nissha Medical Technologies,USA,Medical & Surgical,nisshamedical.com,Open,Jayden
Japan Lifeline,USA,Medical & Surgical,japanlifeline.com,Open,Jayden
VXB Bearing Company,USA,Bearings & Industrial,vxb.com,Open,Jayden
AST Bearings,USA,Bearings & Industrial,astbearings.com,Open,Jayden
Ritbearing Corporation,USA,Bearings & Industrial,ritbearing.com,Open,Jayden
HVH Industrial,USA,Bearings & Industrial,hvhindustrial.com,Open,Jayden
NSK Global,USA,Bearings & Industrial,nsk.com,Open,Jayden
Kawasaki Robotics,USA,Robotics & Automation,kawasakirobotics.com,Open,Jayden
SMC Corp USA,USA,Robotics & Automation,smcusa.com,Open,Jayden
Bookoff USA,USA,Miscellaneous,shop.bookoffusa.com,Open,Jayden
Kinokuniya USA,USA,Miscellaneous,usa.kinokuniya.com,Open,Jayden
Inaba Foods USA,USA,Miscellaneous,inaba.co.jp,Open,Jayden
MG Group (Marukan),USA,Miscellaneous,marukanusa.com,Open,Jayden
SUPER DELIVERY,USA,Miscellaneous,superdelivery.com,Open,Jayden
DOKODEMO,USA,Miscellaneous,dokodemo.world,Open,Jayden
Wismettac Asian Foods,USA,Miscellaneous,wismettacusa.com,Open,Jayden
ICREST,USA,Miscellaneous,icrestusa.com,Open,Jayden
JFC International,USA,Food & Beverage,jfc.com,Open,Matsuo-san
Wismettac Asian Foods,USA,Food & Beverage,wismettacusa.com,Open,Matsuo-san
Mutual Trading Co.,USA,Food & Beverage,lamtc.com,Open,Matsuo-san
Daiei Trading,USA,Food & Beverage,daiei-trading.com,Open,Matsuo-san
ICREST USA,USA,Food & Beverage,icrestusa.com,Open,Matsuo-san
Rhee Bros.,USA,Food & Beverage,rheebrothers.com,Open,Matsuo-san
JFC International Europe,Europe,Food & Beverage,jfc.eu,Open,Matsuo-san
Foodex Group,Europe,Food & Beverage,foodex-group.eu,Open,Matsuo-san
Tazaki Foods,UK,Food & Beverage,tazakifoods.com,Open,Matsuo-san
Yoigokochi,Netherlands,Food & Beverage,yoigokochi.eu,Open,Matsuo-san
J-Top Trade (JTT),Australia,Food & Beverage,jtt.com.au,Open,Matsuo-san
Heigo Australia,Australia,Food & Beverage,heigo.com.au,Open,Matsuo-san
NTC Wismettac Australia,Australia,Food & Beverage,wismettacusa.com,Open,Matsuo-san
JFC Australia Pty Ltd,Australia,Food & Beverage,jfc.com,Open,Matsuo-san
Nippon Effect,Australia,Food & Beverage,nipponeffect.com.au,Open,Matsuo-san
Oceana USA Inc.,USA,Beauty & Health,oceanausa.net,Open,Matsuo-san
Asian Beauty Wholesale,USA,Beauty & Health,asianbeautywholesale.com,Open,Matsuo-san
Q-Depot,USA,Beauty & Health,q-depot.com,Open,Matsuo-san
Murasaki Cosmetics,Europe,Beauty & Health,murasakicosmetics.com,Open,Matsuo-san
NTP Parts,USA,Automotive Parts,ntpparts.com,Open,Matsuo-san
Japanparts.com,USA,Automotive Parts,japanparts.com,Open,Matsuo-san
My Japan Direct,USA,Automotive Parts,myjapandirect.com,Open,Matsuo-san
JP-CarParts.com,USA,Automotive Parts,jp-carparts.com,Open,Matsuo-san
Import Monster,Australia,Automotive Parts,importmonster.com.au,Open,Matsuo-san
UKA Japan Motors,Australia,Automotive Parts,njmotors.com.au,Open,Matsuo-san
Dutton Automotive,Australia,Automotive Parts,duttonone.com.au,Open,Matsuo-san
Gulraj Trading Corporation,USA,Manufacturing,gulraj.co.jp,Open,Matsuo-san
Direct from Japan,Australia,Tableware,directfromjapan.com.au,Open,Matsuo-san
Plaza Japan,USA,Toys & Hobby,plazajapan.com,Open,Matsuo-san
HLJ.com,USA,Toys & Hobby,hlj.com,Open,Matsuo-san
Hobby Genki,USA,Toys & Hobby,hobby-genki.com,Open,Matsuo-san
Solaris Japan,USA,Toys & Hobby,solarisjapan.com,Open,Matsuo-san
Nin-Nin Game,USA,Toys & Hobby,nin-nin-game.com,Open,Matsuo-san
CondeHouse USA,USA,Furniture,condehouse.com,Open,Matsuo-san
J-Life International,USA,Furniture,jlifeinternational.com,Open,Matsuo-san
Eastern Classics,USA,Furniture,tansushop.com,Open,Matsuo-san
Haiku Designs,USA,Furniture,haikudesigns.com,Open,Matsuo-san
OOKKUU,USA,Furniture,ookkuu.com,Open,Matsuo-san
Kokka USA,USA,Textiles,kokkausa.com,Open,Matsuo-san
Miss Matatabi,Australia,Textiles,shop.missmatatabi.com,Open,Matsuo-san
Orimono Imports,USA,Textiles,orimonoimports.com,Open,Matsuo-san
Hida Tool & Hardware,USA,Tools,hidatool.com,Open,Matsuo-san
Kakuri Sangyo,USA,Tools,kakuritools.com,Open,Matsuo-san
Ko-ken USA,USA,Tools,kokenusa.com,Open,Matsuo-san
Osaka Tools,USA,Tools,osakatools.com,Open,Matsuo-san
Suzuki-ya,USA,Tools,suzukitool.com,Open,Matsuo-san
Japan Import Tackle,USA,Fishing,japanimporttackle.com,Open,Matsuo-san
JapanTackle.com,USA,Fishing,japantackle.com,Open,Matsuo-san
JDM Tackle Heaven,USA,Fishing,jdmtackleheaven.com,Open,Matsuo-san
Otaku House USA,USA,Anime,shop.otakuhouse.com,Open,Matsuo-san
Japan Funtime,USA,Anime,japanfuntime.com,Open,Matsuo-san
ACG Go,USA,Anime,acg-go.com,Open,Matsuo-san
Animate USA,USA,Anime,animateusaonlineshop.com,Open,Matsuo-san
Miya Company,USA,Tableware,wholesale.miyacompany.com,Open,Matsuo-san
J Style,Australia,Tableware,jstyle.com.au,Open,Matsuo-san
JOC Goods,USA,Tableware,jocgoods.com,Open,Matsuo-san
Kinokuniya USA,USA,Books,usa.kinokuniya.com,Open,Matsuo-san
CBC Co.,USA,Chemicals,cbcco.com,Open,Matsuo-san
Dainichi Trading Co.,USA,Industrial,dainichi-trading.com,Open,Matsuo-san
HiSOL Inc.,USA,Semiconductor,hisol.com,Open,Matsuo-san
Amayama Trading Co.,USA,Automotive,amayama.com,Open,Matsuo-san
Osakamachi,USA,Beauty,osakamachi.com,Open,Matsuo-san
